gene,cluster_kmeans,cluster_hdbscan
VAMP5,2,-1
RALGAPB,15,-1
ACY1,11,-1
UBE3C,15,-1
ASAP1,2,-1
SLC17A7,14,-1
TGFBR1,16,13
PIK3R2,9,-1
SLC27A6,1,-1
EDN2,16,-1
EPHA4,16,13
PLA2G2C,1,-1
SFRP4,16,13
NDUFB10,17,1
KITLG,16,-1
ORC1,6,-1
ABLIM2,3,-1
HS6ST3,10,-1
ERBB4,16,13
CPSF2,7,-1
RILP,2,-1
PAPSS2,12,-1
RPL32,7,11
ZNF543,0,14
ZNF674,0,14
COL6A3,3,-1
CYP4F2,1,3
KCNMB3,14,-1
TXNRD2,11,-1
AURKA,15,13
GTF2I,0,-1
TLE2,8,-1
REV3L,6,12
RPS20,7,11
ARPC3,3,-1
HMGCS2,1,-1
KSR1,12,-1
ZNF492,0,14
TIMP3,4,-1
CARD18,4,-1
SIX1,16,13
XPOT,7,5
SEMA6B,16,-1
OR11H7,13,0
IFI30,4,-1
ATG2B,2,-1
MAVS,9,-1
ZNF227,0,14
RPS15,7,11
NDUFA11,17,1
AKT3,9,13
HOMER2,3,-1
TAS2R38,13,0
HBS1L,7,-1
CYTH3,2,-1
SMPD2,1,-1
RPL37,7,11
RPS9,7,11
KMT2D,8,13
FECH,11,-1
RAP1GAP,15,-1
IP6K2,12,-1
MAP3K2,12,13
RNASEH2C,6,-1
RPL36,7,11
PIK3CG,9,13
GABRP,14,9
CLDN5,16,-1
HSD17B2,1,-1
NADSYN1,11,-1
GLI2,8,13
COL23A1,3,-1
PTPRD,16,-1
RPL11,7,11
PPIP5K2,12,-1
SH3GL2,3,-1
INHBA,16,13
ATP6V0A4,14,-1
RPLP2,7,11
ENPP2,1,-1
AK7,12,-1
ATR,6,13
HERC1,15,-1
ERCC4,6,-1
RPL35,7,11
RPL3,7,11
ATM,9,13
RPL28,7,11
SLC18A2,14,-1
POU2F1,0,13
COL5A1,3,13
GPR161,13,-1
KLF2,8,13
MRPS15,7,-1
FGF10,16,13
ADCY7,9,-1
RPL18A,7,11
POU5F1,8,13
SLC36A4,14,-1
CAMK2D,16,13
MTCP1,12,-1
ZNF845,0,14
PDGFC,16,-1
XRN1,6,-1
GTF2E1,0,-1
EPHA3,16,13
CHEK1,15,13
MAD2L1,15,-1
CD7,5,-1
ZNF92,0,14
DBT,11,-1
CCNT1,8,-1
HTR7,13,-1
MTOR,9,13
EMG1,7,-1
RRM2,11,-1
RPS6,7,11
IPO9,2,5
ZNF98,0,14
XYLT1,10,6
P2RY6,13,-1
IGF2BP1,7,-1
ZNF713,0,14
ALDH1L1,11,-1
GLRB,14,9
CHSY1,10,6
RPL36A,7,11
JUND,8,13
KRT16,3,8
POLL,6,12
MME,4,-1
ZNF582,0,14
NEIL1,6,-1
ATP1A4,14,-1
AGPAT5,10,-1
ITGA11,5,-1
NTRK2,16,13
IPMK,12,-1
PHKB,11,-1
GNL3,6,-1
GSTM1,11,-1
RPL38,7,11
ZNF490,0,14
SNRPD2,7,7
APC,16,13
B4GALNT4,10,-1
MGAT5B,10,6
GLG1,3,-1
LSM7,7,7
KRT40,3,8
OR10H1,13,0
COL16A1,3,-1
GAL,9,-1
