gene,cluster_kmeans,cluster_hdbscan
EML4,4,-1
E2F1,3,16
SRSF3,5,5
SRD5A3,12,-1
NR1H3,3,-1
MAPK8IP2,1,-1
ADORA2A,1,-1
ZNF354A,10,-1
PDX1,3,-1
SLC36A4,9,-1
RBL1,3,-1
SELP,1,-1
ZNF527,10,20
SPP1,1,-1
XPO1,18,10
FANCM,16,13
RUFY2,2,-1
FFAR2,1,-1
RAPGEF3,1,-1
EFTUD2,8,6
ZNF546,10,20
SF3B1,8,6
CACYBP,18,-1
ZNF26,10,-1
ZNF37A,10,20
PPP1R1B,18,-1
GSTM3,11,-1
DKC1,14,-1
STAG3,16,-1
MMP1,11,-1
FLAD1,11,-1
HSD17B3,12,-1
NAT8L,7,-1
ADSL,11,-1
SRPK1,18,-1
SSH2,18,-1
PCNA,16,13
MAP3K14,6,9
SLC1A7,9,-1
TRPC5,9,-1
CXCR3,1,-1
RIOK1,6,-1
GNA14,13,-1
HDAC2,3,-1
COL7A1,15,7
CRNKL1,8,6
ORC1,16,-1
GNL3,5,-1
ERCC8,16,-1
RPS5,17,15
GZMB,18,-1
HS2ST1,7,1
SMURF2,18,-1
PRH1,15,-1
AGPAT5,7,-1
LYPD6,4,-1
LCAT,7,-1
KIF5C,4,-1
CDC25B,18,-1
AURKA,18,12
CD79A,1,-1
GCLM,1,-1
POLR1C,3,-1
GATC,11,-1
GLUD1,11,-1
TXNRD1,11,-1
THOC7,5,5
CCL8,1,11
CDKN2C,18,-1
CTNNA3,4,-1
