gene,cluster_kmeans,cluster_hdbscan
HDAC8,6,-1
LPL,1,-1
HNRNPA1,15,14
LMNB2,13,-1
SELE,7,23
ALDH6A1,10,-1
ZNF224,8,-1
CERS3,1,-1
CCL17,7,23
CPEB3,6,-1
PDE4D,7,-1
PLXNA1,13,-1
AP1S2,12,19
FLNC,13,-1
ARPC1B,13,-1
PANK1,1,-1
RSPO2,7,-1
TUBA3D,13,-1
UBE2J1,3,-1
TELO2,5,-1
CLDN15,13,-1
SSR1,12,-1
GABRB3,7,23
AGRN,13,-1
THOC1,15,-1
AMH,7,-1
CDC25B,3,-1
CCL26,7,23
HMOX1,7,23
UPF3A,15,-1
PGM2L1,1,-1
C1QC,11,-1
FGR,7,23
PSMD7,5,-1
ABCA4,1,-1
OR51S1,0,8
DUOX2,7,-1
ZNF768,8,-1
GPX4,10,-1
LHB,0,-1
GTF2IRD1,8,-1
GALNTL6,9,10
ADCYAP1,7,-1
ATP2B4,2,23
HTR1B,0,-1
CASP12,3,-1
MVB12B,12,-1
GPS2,6,-1
PIAS1,6,23
FUCA2,11,-1
RAB11FIP3,12,19
ACAD8,10,-1
PCLO,13,-1
ABCD1,1,6
INSRR,3,-1
CDC34,3,17
MCM7,4,18
PNN,15,-1
HRH1,0,-1
SCN7A,2,-1
UTP14C,15,-1
POLR2L,6,-1
RANBP1,5,-1
NOTCH4,7,-1
MSR1,12,-1
DNMT3A,6,-1
STK11,3,23
RASD1,5,-1
C2,11,9
POLR2H,6,-1
EDA2R,0,-1
RGL2,3,-1
PLK1,3,23
LRRC4C,13,-1
SHC4,7,-1
ACTC1,13,-1
ASPA,1,-1
PPP2R2C,5,-1
SIRPB1,0,-1
NAGK,1,-1
MSI1,6,-1
COL22A1,11,-1
FGD1,13,-1
EBI3,7,-1
RFC5,4,18
AAAS,5,-1
GGA1,12,-1
SNRPA1,15,15
EFNA2,13,-1
ABCB6,12,-1
INPP4A,1,-1
ZNF530,8,-1
EME2,4,20
ANGPT4,7,-1
MLNR,0,-1
PDE1B,1,5
DSG1,13,-1
LIG1,4,-1
FREM1,11,-1
PDCD4,7,-1
FCGR1A,7,-1
LIFR,0,-1
ENTPD8,1,-1
PIGL,9,-1
GDF10,7,-1
CACNA2D1,2,21
P2RX2,2,23
CYP2D7,10,-1
HOMER3,13,-1
TGFB1,7,23
IL1RL2,7,-1
SGCG,13,-1
PTCH2,7,-1
UBE2M,3,-1
FBXO25,5,-1
ALG11,9,-1
DDIT3,6,23
FOLR1,12,-1
PYY,0,-1
BMP5,7,23
TPMT,1,-1
MLST8,3,-1
MYL2,13,-1
HBEGF,7,-1
EPHA8,7,-1
ACER2,1,-1
NNT,14,0
DBH,7,-1
GCG,7,-1
CASQ1,13,-1
CXCL1,7,-1
MBTPS1,12,-1
ACKR3,7,-1
NGF,7,-1
CPE,12,-1
PLCB3,3,-1
MC1R,0,-1
DYNLL1,13,-1
TRAF2,3,-1
OLR1,11,-1
GBGT1,9,-1
KLC2,13,-1
GABRQ,2,-1
LSG1,5,-1
CYP17A1,10,12
CDK9,6,-1
CYTH2,13,-1
TLE6,6,-1
POLA2,4,-1
ERP29,12,-1
AXIN1,3,23
PPOX,10,-1
ABCB8,2,-1
FMO3,10,-1
GPX5,10,-1
TAS1R3,0,8
RUVBL1,4,22
COL1A1,7,16
ADORA3,0,-1
MAP3K6,3,-1
HSPA4L,5,-1
RFC2,4,18
YKT6,12,19
LDHB,10,7
TYROBP,7,23
RAMP2,7,-1
SLC27A6,1,-1
BCAT2,1,-1
ACADSB,10,-1
BTG2,7,-1
KCNN4,2,-1
GTSE1,13,-1
F12,11,9
ITGA11,11,-1
ALOX12B,10,-1
CLN5,12,-1
DLL4,7,-1
CTNNA2,13,-1
ATG4D,12,-1
SNRPG,15,15
GLYCTK,1,-1
AKR1C3,10,7
CDC7,3,-1
NGEF,13,-1
RBCK1,3,-1
COL11A2,11,16
PAQR6,0,-1
EFNA3,0,-1
ACSS3,1,-1
ATG4B,12,-1
MGAT5B,9,10
ZNF214,8,-1
MAN2B2,1,-1
ABLIM1,13,-1
IGFBP3,7,-1
FOXO6,8,23
PC,1,-1
LAMA3,11,-1
CDK1,3,23
SH2B2,7,-1
TTK,3,-1
SEMA3A,7,-1
RPL35,15,3
NLGN2,13,23
ARG2,7,-1
RPL28,5,3
ZNF282,8,-1
RASSF1,3,-1
MRPL28,15,4
AIFM2,5,-1
CFL2,13,-1
NDUFB2,14,0
CLCN2,2,-1
FMOD,11,-1
PLA2G12A,1,-1
RAC3,13,23
CDK5,7,23
MAGOHB,15,15
MRPL9,15,4
NPRL3,7,-1
PLA2G4D,1,-1
IRF7,6,-1
CDH5,7,23
BCR,7,-1
SLC12A7,2,-1
CA14,2,-1
EPHX2,1,-1
KLK1,11,-1
NCF2,5,-1
EGR3,6,-1
MST1,11,-1
CDO1,10,-1
ADRA2A,7,23
NCAM1,11,-1
RAD54L,4,-1
PTGFR,0,-1
SLC7A9,2,-1
CDON,7,-1
GRIN2D,2,23
HNRNPA2B1,15,14
HTR2B,7,23
WTIP,6,-1
TNFRSF12A,7,-1
SHANK3,7,23
SUMO2,5,-1
IL31RA,7,-1
RGS3,5,-1
ALG10,9,-1
ZNF26,8,-1
CSAD,1,-1
CHST13,9,-1
EDN3,7,-1
ACYP1,1,-1
RANGAP1,5,-1
DLGAP1,13,-1
IP6K3,1,-1
ABCA2,1,-1
CDC20,3,-1
FCER2,7,-1
MARVELD3,13,-1
MAPKAPK2,3,23
GNPNAT1,12,-1
DRD1,7,23
CD14,7,-1
PRSS3,11,-1
KIF7,13,1
SLC12A5,2,-1
NFATC1,6,23
LILRB1,7,23
TAF15,8,-1
CCNB2,5,-1
PAH,10,-1
NDUFA6,14,0
F2R,7,23
MICALL2,13,-1
CALY,12,-1
DOT1L,6,-1
DMXL1,12,-1
KCNJ14,2,-1
SLC7A8,2,-1
EYA1,7,-1
HCAR1,0,-1
ANGPT2,7,-1
LILRB3,0,-1
HHEX,6,23
KPNA2,5,-1
ENTPD5,1,-1
BBC3,7,-1
EMP2,13,-1
PHKG2,3,-1
MCOLN2,2,-1
PIK3R5,3,-1
SOD2,7,-1
PTPRN2,12,-1
ULK1,3,-1
PABPC5,15,-1
COL2A1,11,16
IL34,7,-1
GABRD,2,23
EGF,7,23
PENK,7,23
ALDH3A2,10,7
DAZAP1,15,-1
ATP12A,2,-1
ITGAX,7,23
COX6C,14,0
ABO,9,-1
ZNF211,8,25
BIRC7,3,-1
ZNF783,8,-1
P2RY6,0,-1
SLC34A3,2,-1
SCUBE2,11,-1
SARDH,14,-1
HHIP,7,-1
TACR2,7,-1
NCF1,7,-1
P2RX1,2,23
ZNF77,8,24
MRPS17,15,4
PTGER1,0,-1
DAXX,6,23
WDR41,5,-1
ADRA1D,0,-1
ZNF429,8,25
PIDD1,3,-1
CHKB,1,-1
ZNF268,6,-1
GPSM1,5,-1
HK3,1,-1
PPP1R12C,3,-1
MIOX,10,-1
PKMYT1,3,-1
PTGS2,10,23
ARFGAP1,5,-1
L3HYPDH,1,-1
RAMP3,0,-1
DFFB,4,-1
LILRA6,0,-1
ASPSCR1,12,-1
ST6GALNAC6,9,-1
SPP1,7,-1
ATP1A2,2,23
ADRA1A,7,-1
NLRP12,7,-1
E2F2,8,23
TXN,5,-1
TRPV2,2,-1
AURKA,3,23
B3GNT4,9,-1
MLYCD,1,-1
CSF1R,7,23
HEXA,1,-1
NPBWR1,0,-1
HLA-DPA1,12,23
POMGNT1,9,10
ACER1,1,-1
FGFR2,7,23
LMAN1,12,-1
SCIN,13,-1
DERL3,12,-1
GALM,1,-1
GRIN3B,2,23
SH2B1,5,-1
SFTPA2,11,-1
GIPR,0,-1
PRLH,7,-1
TNFSF18,7,23
INPP5E,1,-1
NPW,0,-1
GALNT4,9,10
PTGIS,10,-1
FMO4,10,-1
NFKBIB,5,-1
PRKAR2A,3,-1
C3AR1,0,-1
AGRP,7,-1
NMU,7,-1
GLP1R,0,-1
GRIK1,2,23
ATG9B,12,-1
MYLK,3,-1
PRR5L,3,-1
FLAD1,1,-1
FLT4,7,23
